cohort,method,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate,frac_fit_failed
breast,M2b,10,0.8804347826086957,0.2951353092783505,1.0,0.6599401414837657,0.0,0.9659863945578231,1.1333333333333337,-1.9048135080645163,2.6409824046920813,0.008,0.122
breast,M2b,20,0.9,0.6022085777126099,1.0,0.6334481710406323,0.0,0.8947540135920418,1.0,-1.9672311827956988,2.3050691244239623,0.0,0.018
breast,M2b,30,0.872093023255814,0.6043813387423935,0.989010989010989,0.6959742351046698,0.007518796992481203,0.8865037593984961,1.3548387096774195,-1.890972222222222,2.254861111111111,0.0,0.01
breast,M2b,50,0.8947368421052632,0.698055907507127,1.0,0.64,0.18494410569105693,0.8530887644942022,1.0740740740740742,-1.112895256916996,2.123285953177257,0.0,0.0
breast,M2b,100,0.896551724137931,0.7480410447761194,0.9841269841269841,0.6363636363636364,0.27956989247311825,0.8137260536398466,1.0,-0.6190476190476191,1.942892156862745,0.0,0.0
breast,M3,10,0.8210526315789474,0.21327576754385974,0.9894204927211646,0.7635135135135135,0.013199285465318926,0.9694699440820129,1.6363636363636362,-1.9032258064516134,2.6934952978056423,0.008,0.0
breast,M3,20,0.8971394984326019,0.6022085777126099,1.0,0.6388888888888888,0.0,0.8947540135920418,1.096774193548387,-1.9672311827956988,2.3050691244239623,0.0,0.0
breast,M3,30,0.8698179271708684,0.6043813387423935,0.989010989010989,0.6988887660327289,0.007518796992481203,0.8865037593984961,1.3559907834101383,-1.890972222222222,2.254861111111111,0.0,0.0
breast,M3,50,0.8947368421052632,0.698055907507127,1.0,0.64,0.18494410569105693,0.8530887644942022,1.0740740740740742,-1.112895256916996,2.123285953177257,0.0,0.0
breast,M3,100,0.896551724137931,0.7480410447761194,0.9841269841269841,0.6363636363636364,0.27956989247311825,0.8137260536398466,1.0,-0.6190476190476191,1.942892156862745,0.0,0.0
busi,M1,10,0.8464108813585973,0.31771059782608696,0.9970312499999998,0.9,0.22301955529964135,0.9952043844313581,1.4249999999999998,-2.11837085678549,1.9473684210526312,0.006,0.0
busi,M1,20,0.8885233918128654,0.5862168874172186,0.9936305732484076,0.8235294117647058,0.27580081537565526,0.9710876532887402,1.0378205128205127,-1.9200391180654341,1.8134246088193462,0.0,0.0
busi,M1,30,0.88,0.6575733535688006,0.9931506849315068,0.828357100415924,0.29743589743589743,0.9650078751968799,1.0526315789473681,-1.7105263157894737,1.7923076923076924,0.0,0.0
busi,M1,50,0.8943661971830986,0.7147237514258792,0.9854014598540146,0.8181818181818182,0.47962497796580295,0.9612239103744629,1.0,-0.7648484848484851,1.7837837837837835,0.0,0.0
busi,M1,100,0.9037543859649123,0.7710344827586207,0.9707393662574935,0.8018755935422602,0.6265297535564015,0.9442805383022774,0.9032258064516128,0.03276881720430116,1.6007812499999998,0.0,0.0
busi,M2a,10,0.9428565669596065,0.8164556962025317,0.9907554298374014,0.68645903859174,0.3086168738263436,0.9095238095238095,0.29634146341463413,-1.7181249999999997,1.5,0.006,0.204
busi,M2a,20,0.9223292836196062,0.8299953314659198,0.967741935483871,0.750609756097561,0.5591001747233547,0.9019607843137255,0.6315789473684212,-0.39260269576379947,1.4250000000000005,0.0,0.054
