cohort,signal,q_pct,n_abstained,n_retained,retained_prevalence,retained_sens,retained_spec,abstained_error_rate,error_enrichment
gdph,margin,30,243,567,0.6190476190476191,0.9886039886039886,0.39814814814814814,0.4732510288065844,1.5394912985274432
sysucc,U_std,0,0,1013,0.7147087857847977,0.930939226519337,0.4740484429065744,,
sysucc,U_std,5,51,962,0.7089397089397089,0.9266862170087976,0.48928571428571427,0.17647058823529413,0.8849737914967968
sysucc,U_std,10,101,912,0.7083333333333334,0.9226006191950464,0.5150375939849624,0.22772277227722773,1.1419958827565926
sysucc,U_std,20,203,810,0.6975308641975309,0.911504424778761,0.5591836734693878,0.21674876847290642,1.0869628834804663
sysucc,U_std,30,304,709,0.7023977433004231,0.8995983935742972,0.6492890995260664,0.2565789473684211,1.286705315268369
sysucc,U_range,0,0,1013,0.7147087857847977,0.930939226519337,0.4740484429065744,,
sysucc,U_range,5,51,962,0.7120582120582121,0.927007299270073,0.49458483754512633,0.23529411764705882,1.1799650553290624
sysucc,U_range,10,101,912,0.7105263157894737,0.9228395061728395,0.5189393939393939,0.24752475247524752,1.2412998725615136
sysucc,U_range,20,203,810,0.6975308641975309,0.911504424778761,0.5591836734693878,0.21674876847290642,1.0869628834804663
sysucc,U_range,30,304,709,0.693935119887165,0.8983739837398373,0.631336405529954,0.23684210526315788,1.1877279833246481
sysucc,margin,0,0,1013,0.7147087857847977,0.930939226519337,0.4740484429065744,,
sysucc,margin,5,51,962,0.7245322245322245,0.9526542324246772,0.47547169811320755,0.5882352941176471,2.949912638322656
sysucc,margin,10,101,912,0.7412280701754386,0.9615384615384616,0.4703389830508475,0.504950495049505,2.5322517400254876
sysucc,margin,20,203,810,0.7814814814814814,0.981042654028436,0.4463276836158192,0.45320197044334976,2.272740574550066
sysucc,margin,30,304,709,0.8236953455571228,0.9897260273972602,0.368,0.3848684210526316,1.9300579729025533
